FileId,Accepted,QCNotes
E-AFMX-9_10,N,Corrupt/Missing CEL
E-AFMX-9_11,N,Corrupt/Missing CEL
E-AFMX-9_12,N,Corrupt/Missing CEL
E-AFMX-9_13,N,Corrupt/Missing CEL
E-AFMX-9_14,N,Corrupt/Missing CEL
E-AFMX-9_15,N,Corrupt/Missing CEL
E-AFMX-9_16,N,Corrupt/Missing CEL
E-AFMX-9_17,N,Corrupt/Missing CEL
E-AFMX-9_18,N,Corrupt/Missing CEL
E-ATMX-13_1,Y,NA
E-ATMX-13_10,Y,NA
E-ATMX-13_11,Y,NA
E-ATMX-13_12,Y,NA
E-ATMX-13_13,Y,NA
E-ATMX-13_14,Y,NA
E-ATMX-13_2,Y,NA
E-ATMX-13_3,Y,NA
E-ATMX-13_4,Y,NA
E-ATMX-13_5,Y,NA
E-ATMX-13_6,Y,NA
E-ATMX-13_7,Y,NA
E-ATMX-13_8,Y,NA
E-ATMX-13_9,Y,NA
E-ATMX-30_10,Y,NA
E-ATMX-30_11,Y,NA
E-ATMX-30_12,Y,NA
E-ATMX-30_4,Y,NA
E-ATMX-30_5,Y,NA
E-ATMX-30_6,Y,NA
E-ATMX-30_7,Y,NA
E-ATMX-30_8,Y,NA
E-ATMX-30_9,Y,NA
E-ATMX-31_1,Y,NA
E-ATMX-31_2,Y,NA
E-ATMX-31_3,N,Manual Rejection
E-ATMX-32_1,Y,NA
E-ATMX-32_10,Y,NA
E-ATMX-32_11,Y,NA
E-ATMX-32_12,Y,NA
E-ATMX-32_13,Y,NA
E-ATMX-32_14,Y,NA
E-ATMX-32_2,Y,NA
E-ATMX-32_3,Y,NA
E-ATMX-32_4,Y,NA
E-ATMX-32_5,Y,NA
E-ATMX-32_6,Y,NA
E-ATMX-32_7,Y,NA
E-ATMX-32_8,Y,NA
E-ATMX-32_9,Y,NA
E-ATMX-35_7,Y,NA
E-ATMX-35_8,Y,NA
E-ATMX-35_9,Y,NA
E-MEXP-1409_1,Y,NA
E-MEXP-1409_2,Y,NA
E-MEXP-1409_3,Y,NA
E-MEXP-1409_4,Y,NA
E-MEXP-1410_1,Y,NA
E-MEXP-1410_2,Y,NA
E-MEXP-1410_3,Y,NA
E-MEXP-1410_4,Y,NA
E-MEXP-1411_1,Y,NA
E-MEXP-1411_2,Y,NA
E-MEXP-1411_3,Y,NA
E-MEXP-1411_4,Y,NA
E-MEXP-1607_1,Y,NA
E-MEXP-1607_2,Y,NA
E-MEXP-1607_3,Y,NA
E-MEXP-1607_4,Y,NA
E-MEXP-1607_5,Y,NA
E-MEXP-1607_6,Y,NA
E-MEXP-1607_7,Y,NA
E-MEXP-1607_8,Y,NA
E-MEXP-1607_9,Y,NA
E-MEXP-1797_1,Y,NA
E-MEXP-1797_10,Y,NA
E-MEXP-1797_11,Y,NA
E-MEXP-1797_12,Y,NA
E-MEXP-1797_13,Y,NA
E-MEXP-1797_14,Y,NA
E-MEXP-1797_15,N,Manual Rejection
E-MEXP-1797_16,Y,NA
E-MEXP-1797_17,Y,NA
E-MEXP-1797_2,Y,NA
E-MEXP-1797_3,Y,NA
E-MEXP-1797_4,Y,NA
E-MEXP-1797_5,Y,NA
E-MEXP-1797_6,Y,NA
E-MEXP-1797_7,Y,NA
E-MEXP-1797_8,Y,NA
E-MEXP-1797_9,Y,NA
E-MEXP-2358_1,Y,NA
E-MEXP-2358_2,Y,NA
E-MEXP-2358_3,Y,NA
E-MEXP-2358_4,Y,NA
E-MEXP-2358_5,Y,NA
E-MEXP-2358_6,Y,NA
E-MEXP-2569_1,Y,NA
E-MEXP-2569_2,Y,NA
E-MEXP-2569_3,Y,NA
E-MEXP-2569_4,Y,NA
E-MEXP-2569_5,Y,NA
E-MEXP-2569_6,Y,NA
E-MEXP-2569_7,Y,NA
E-MEXP-2569_8,Y,NA
E-MEXP-2569_9,Y,NA
E-MEXP-3127_1,Y,NA
E-MEXP-3127_2,Y,NA
E-MEXP-3127_3,Y,NA
E-MEXP-3127_4,Y,NA
E-MEXP-3127_5,Y,NA
E-MEXP-3127_6,Y,NA
E-MEXP-3127_7,Y,NA
E-MEXP-3127_8,Y,NA
E-MEXP-3127_9,Y,NA
E-MEXP-3602_1,Y,NA
E-MEXP-3602_2,Y,NA
E-MEXP-3602_3,Y,NA
E-MEXP-3602_4,Y,NA
E-MEXP-3602_5,Y,NA
E-MEXP-3602_6,Y,NA
E-MEXP-3602_7,Y,NA
E-MEXP-3602_8,Y,NA
E-MEXP-3602_9,Y,NA
E-MEXP-3713_1,Y,NA
E-MEXP-3713_10,Y,NA
E-MEXP-3713_11,Y,NA
E-MEXP-3713_12,Y,NA
E-MEXP-3713_13,Y,NA
E-MEXP-3713_14,Y,NA
E-MEXP-3713_15,Y,NA
E-MEXP-3713_16,Y,NA
E-MEXP-3713_17,Y,NA
E-MEXP-3713_18,Y,NA
E-MEXP-3713_2,Y,NA
E-MEXP-3713_3,Y,NA
E-MEXP-3713_4,Y,NA
E-MEXP-3713_5,Y,NA
E-MEXP-3713_6,Y,NA
E-MEXP-3713_7,Y,NA
E-MEXP-3713_8,Y,NA
E-MEXP-3713_9,Y,NA
E-MEXP-3733_1,Y,NA
E-MEXP-3733_10,Y,NA
E-MEXP-3733_11,Y,NA
E-MEXP-3733_12,Y,NA
E-MEXP-3733_13,Y,NA
E-MEXP-3733_14,Y,NA
E-MEXP-3733_15,Y,NA
E-MEXP-3733_16,Y,NA
E-MEXP-3733_17,Y,NA
E-MEXP-3733_18,Y,NA
E-MEXP-3733_2,Y,NA
E-MEXP-3733_3,Y,NA
E-MEXP-3733_4,Y,NA
E-MEXP-3733_5,Y,NA
E-MEXP-3733_6,Y,NA
E-MEXP-3733_7,Y,NA
E-MEXP-3733_8,Y,NA
E-MEXP-3733_9,Y,NA
E-MEXP-3867_1,Y,NA
E-MEXP-3867_2,Y,NA
E-MEXP-3867_3,Y,NA
E-MEXP-3867_4,Y,NA
E-MEXP-3867_5,Y,NA
E-MEXP-3867_6,Y,NA
E-MEXP-883_1,Y,NA
E-MEXP-883_10,Y,NA
E-MEXP-883_11,Y,NA
E-MEXP-883_12,Y,NA
E-MEXP-883_2,Y,NA
E-MEXP-883_3,Y,NA
E-MEXP-883_4,Y,NA
E-MEXP-883_5,Y,NA
E-MEXP-883_6,Y,NA
E-MEXP-883_7,Y,NA
E-MEXP-883_8,Y,NA
E-MEXP-883_9,Y,NA
E-MTAB-1009_13,N,Automatic QC Rejection
E-MTAB-1009_14,N,Automatic QC Rejection
E-MTAB-1009_15,N,Automatic QC Rejection
E-MTAB-1009_16,N,Automatic QC Rejection
E-MTAB-1009_17,N,Automatic QC Rejection
E-MTAB-1009_18,N,Automatic QC Rejection
E-MTAB-1009_19,N,Automatic QC Rejection
E-MTAB-1009_20,N,Automatic QC Rejection
E-MTAB-1009_21,N,Automatic QC Rejection
E-MTAB-1009_22,N,Automatic QC Rejection
E-MTAB-1009_23,N,Automatic QC Rejection
E-MTAB-1009_24,N,Automatic QC Rejection
E-MTAB-1264_31,Y,NA
E-MTAB-1264_32,Y,NA
E-MTAB-1264_33,Y,NA
E-MTAB-1264_34,Y,NA
E-MTAB-1264_35,Y,NA
E-MTAB-1264_36,Y,NA
E-MTAB-1344_1,Y,NA
E-MTAB-1344_10,Y,NA
E-MTAB-1344_11,Y,NA
E-MTAB-1344_12,Y,NA
E-MTAB-1344_13,Y,NA
E-MTAB-1344_14,Y,NA
E-MTAB-1344_15,Y,NA
E-MTAB-1344_16,Y,NA
E-MTAB-1344_17,Y,NA
E-MTAB-1344_18,Y,NA
E-MTAB-1344_19,Y,NA
E-MTAB-1344_2,Y,NA
E-MTAB-1344_20,Y,NA
E-MTAB-1344_21,Y,NA
E-MTAB-1344_22,Y,NA
E-MTAB-1344_23,Y,NA
E-MTAB-1344_24,Y,NA
E-MTAB-1344_3,Y,NA
E-MTAB-1344_4,Y,NA
E-MTAB-1344_5,Y,NA
E-MTAB-1344_6,Y,NA
E-MTAB-1344_7,Y,NA
